Weeks,01,02,03,04,05,06,07,08,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Alhallows Hony Lane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
All Hallows Bread Str,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,3,1,2,1,0,0,1,1,0,0,0,0,0
Allhallows Barking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,7,11,21,23,32,32,41,34,26,26,16,18,19,10,6,4,0,0,0
Allhallows Lumbard Str,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,7,6,5,7,10,5,5,2,1,0,0,0,0,0,0,2,0
Allhallows Staining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,5,5,11,8,10,11,18,8,9,2,7,5,6,1,0,0,0,0
Allhallows the Wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,13,18,11,40,40,40,30,35,28,28,13,5,6,14,10,5,2,0,1,1
Allhallows ye great,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,5,5,10,9,32,53,59,41,34,30,14,9,11,7,5,5,0,0,2
Allhallows ye less,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,9,16,17,26,24,17,21,16,4,3,7,3,2,2,0,0,2
Christ church,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,6,12,13,15,20,22,37,61,39,48,43,39,30,24,12,8,12,8,3,5,0,1,2
Norton Folgate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14,34,65,81,173,212,346,439,570,589,433,338,284,155,82,53,68,44,24,8,7,16,11
Precinct of Bridewell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,4,2,5,2,5,9,17,19,31,24,23,14,4,2,3,3,1,2,1,2,0,2
S Giles in the Fields,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,7,9,31,68,101,143,149,213,218,323,229,259,242,220,146,178,156,125,107,78,74,43,38,20,24,21,16,4,4,7,2
S James Clerkenwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,50,78,121,92,136,145,172,122,119,73,67,64,42,31,16,6,5,5,4,2,3,2,0,1
S Katherine Tower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,12,18,34,71,87,61,66,62,39,45,25,19,13,8,9,7,5,3,2,4
S Leonard Shoreditch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,40,50,65,122,163,168,238,276,210,173,138,91,72,42,20,10,21,14,6,2,2,2,4
S Mary Savoy,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,4,8,7,6,12,10,16,21,13,19,13,16,14,3,3,2,7,2,4,3,0,1,3
