Parishes Name,Week Plague01,Week Percent01,Week Plague02,Week Percent02,Week Plague03,Week Percent03,Week Plague04,Week Percent04,Week Plague05,Week Percent05,Week Plague06,Week Percent06,Week Plague07,Week Percent07,Week Plague08,Week Percent08,Week Plague9,Week Percent9,Week Plague10,Week Percent10,Week Plague11,Week Percent11,Week Plague12,Week Percent12,Week Plague13,Week Percent13,Week Plague14,Week Percent14,Week Plague15,Week Percent15,Week Plague16,Week Percent16,Week Plague17,Week Percent17,Week Plague18,Week Percent18,Week Plague19,Week Percent19,Week Plague20,Week Percent20,Week Plague21,Week Percent21,Week Plague22,Week Percent22,Week Plague23,Week Percent23,Week Plague24,Week Percent24,Week Plague25,Week Percent25,Week Plague26,Week Percent26,Week Plague27,Week Percent27,Week Plague28,Week Percent28,Week Plague29,Week Percent29,Week Plague30,Week Percent30,Week Plague31,Week Percent31,Week Plague32,Week Percent32,Week Plague33,Week Percent33,Week Plague34,Week Percent34,Week Plague35,Week Percent35,Week Plague36,Week Percent36,Week Plague37,Week Percent37,Week Plague38,Week Percent38,Week Plague39,Week Percent39,Week Plague40,Week Percent40,Week Plague41,Week Percent41,Week Plague42,Week Percent42,Week Plague43,Week Percent43,Week Plague44,Week Percent44,Week Plague45,Week Percent45,Week Plague46,Week Percent46,Week Plague47,Week Percent47,Week Plague48,Week Percent48,Week Plague49,Week Percent49,Week Plague50,Week Percent50,Week Plague51,Week Percent51,Week Plague52,Week Percent52
Alhallows Hony Lane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,1,100,0,0,1,100,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Hallows Bread Str,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,1,50,1,100,0,0,1,50,0,0,3,75,3,100,1,100,2,100,1,100,0,0,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0
Allhallows Barking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,3,38,7,70,11,85,21,84,23,74,32,76,32,78,41,79,34,74,26,67,26,84,16,94,18,95,19,86,10,83,6,86,4,50,0,0,0,0,0,0
Allhallows Lumbard Str,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3,75,4,80,4,67,7,88,6,86,5,71,7,88,10,91,5,100,5,100,2,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0
Allhallows Staining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,1,100,0,0,1,33,3,60,5,71,5,71,11,79,8,62,10,62,11,69,18,86,8,67,9,90,2,50,7,78,5,83,6,86,1,33,0,0,0,0,0,0,0,0
Allhallows the Wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,5,71,5,62,3,50,13,87,18,82,11,48,40,91,40,87,40,89,30,73,35,85,28,85,28,90,13,87,5,71,6,86,14,82,10,100,5,83,2,67,0,0,1,25,1,25
Allhallows ye great,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,2,33,2,40,0,0,5,62,5,83,10,48,9,43,32,78,53,90,59,92,41,98,34,89,30,94,14,93,9,82,11,92,7,100,5,83,5,71,0,0,0,0,2,100
Allhallows ye less,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,1,33,1,50,0,0,2,67,9,82,16,94,17,89,26,90,24,96,17,100,21,100,16,89,4,100,3,43,7,88,3,100,2,40,2,100,0,0,0,0,2,100
Christ church,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,4,57,3,60,6,50,12,75,13,76,15,68,20,65,22,81,37,86,61,90,39,91,48,87,43,88,39,89,30,88,24,89,12,71,8,100,12,92,8,80,3,100,5,42,0,0,1,33,2,33
Norton Folgate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,17,14,40,34,60,65,71,81,79,173,84,212,89,346,93,439,99,570,98,589,95,433,92,338,91,284,93,155,92,82,83,53,82,68,80,44,80,24,73,8,36,7,41,16,89,11,48
